"caseid","weight","BIGFIVE_1","BIGFIVE_2","BIGFIVE_3","BIGFIVE_4","BIGFIVE_5","BIGFIVE_6","BIGFIVE_7","BIGFIVE_8","BIGFIVE_9","BIGFIVE_10","BIGFIVE_11","BIGFIVE_12","BIGFIVE_13","BIGFIVE_14","BIGFIVE_15","BIGFIVE_16","BIGFIVE_17","BIGFIVE_18","BIGFIVE_19","BIGFIVE_20","BIGFIVE_21","BIGFIVE_22","BIGFIVE_23","BIGFIVE_24","BIGFIVE_25","BIGFIVE_26","BIGFIVE_27","BIGFIVE_28","BIGFIVE_29","BIGFIVE_30","BIGFIVE_31","BIGFIVE_32","BIGFIVE_33","BIGFIVE_34","BIGFIVE_35","BIGFIVE_36","BIGFIVE_37","BIGFIVE_38","BIGFIVE_39","BIGFIVE_40","BIGFIVE_41","BIGFIVE_42","BIGFIVE_43","BIGFIVE_44","BIGFIVE_45","BIGFIVE_46","BIGFIVE_47","BIGFIVE_48","BIGFIVE_49","BIGFIVE_50","BIGFIVE_51","BIGFIVE_52","BIGFIVE_53","BIGFIVE_54","BIGFIVE_55","BIGFIVE_56","BIGFIVE_57","BIGFIVE_58","BIGFIVE_59","BIGFIVE_60","BIGFIVE_61","BIGFIVE_62","BIGFIVE_63","BIGFIVE_64","BIGFIVE_65","BIGFIVE_66","BIGFIVE_67","BIGFIVE_68","BIGFIVE_69","BIGFIVE_70","BIGFIVE_71","BIGFIVE_72","BIGFIVE_73","BIGFIVE_74","BIGFIVE_75","BIGFIVE_76","BIGFIVE_77","BIGFIVE_78","BIGFIVE_79","BIGFIVE_80","BIGFIVE_81","BIGFIVE_82","BIGFIVE_83","BIGFIVE_84","BIGFIVE_85","BIGFIVE_86","BIGFIVE_87","BIGFIVE_88","BIGFIVE_89","BIGFIVE_90","BIGFIVE_91","BIGFIVE_92","BIGFIVE_93","BIGFIVE_94","BIGFIVE_95","BIGFIVE_96","BIGFIVE_97","BIGFIVE_98","BIGFIVE_99","BIGFIVE_100","birthyr","gender","race","educ","marstat","employ","faminc_new","pid3","pid7","inputstate","inputzip","votereg","ideo5","newsint","presvote16post","religpew","pew_churatd","pew_bornagain","pew_religimp","pew_prayer","starttime","endtime"
391690165,0.551659448496322,2,4,1,5,5,3,3,2,1,1,2,3,4,5,5,1,5,4,1,1,2,5,2,5,5,4,2,2,5,4,3,1,2,5,5,3,2,4,5,5,3,1,1,5,4,3,2,1,5,5,1,3,2,2,4,2,4,1,5,5,3,4,1,2,5,5,2,2,5,3,3,1,2,5,5,4,2,1,4,3,1,4,1,3,5,4,3,1,4,5,2,1,1,4,5,4,2,1,5,4,1971,2,3,3,3,2,2,2,7,12,"33917",1,5,2,2,1,1,1,1,1,2018-06-07 23:20:08,2018-06-07 23:26:42
391850827,0.789092862220592,4,4,1,2,4,4,3,2,2,2,4,2,4,4,3,2,2,4,2,2,4,3,2,2,4,4,4,4,4,2,4,4,2,5,4,4,3,4,2,2,4,2,3,2,4,3,4,2,4,2,4,4,2,4,5,4,3,2,5,4,2,4,1,1,5,4,4,2,2,1,4,4,2,2,1,4,4,3,3,2,4,4,4,2,5,4,4,2,5,3,4,3,2,2,4,2,4,2,4,1,1984,2,1,6,6,1,3,1,2,42,"16313-0081",1,2,1,1,3,6,2,2,6,2018-06-07 23:19:05,2018-06-07 23:26:43
391850862,1.0991802745425,4,2,2,2,4,4,2,2,1,2,4,1,2,4,4,4,1,2,2,1,4,1,4,1,4,5,4,2,2,1,5,1,2,1,5,4,4,1,2,1,4,2,2,1,4,4,4,1,4,1,5,2,2,1,4,4,4,2,4,4,5,2,2,1,4,5,4,2,4,2,5,2,2,1,2,5,4,2,2,2,4,4,4,1,4,4,4,2,2,2,5,1,2,1,5,4,2,1,4,2,1958,2,1,5,5,1,6,1,1,25,"02148",1,2,1,1,11,6,2,4,6,2018-06-07 23:19:58,2018-06-07 23:27:09
391850641,1.32203051907693,3,2,3,3,3,3,3,2,2,3,4,2,4,3,3,3,3,2,3,2,3,3,4,2,3,4,3,2,3,2,3,2,4,2,3,4,3,3,2,3,3,2,3,1,3,4,3,2,3,2,4,2,3,3,3,3,3,2,4,3,4,2,3,3,3,4,3,3,3,2,3,2,3,5,3,4,3,2,2,2,4,2,4,1,3,2,3,3,3,2,5,2,3,2,3,4,3,3,2,2,1954,2,1,5,3,1,7,3,3,53,"98296",1,1,1,1,11,6,2,4,8,2018-06-07 23:13:03,2018-06-07 23:27:35
391850879,0.935633521164226,4,4,1,1,4,4,5,4,1,5,4,4,5,5,3,3,5,2,1,1,2,1,2,3,4,5,1,1,4,1,4,1,4,1,4,4,1,4,3,5,2,2,1,5,5,4,1,1,3,4,1,1,1,5,4,4,1,1,5,5,4,1,1,3,5,5,2,4,4,2,5,1,2,1,2,5,3,1,4,4,5,1,3,2,5,5,2,1,2,5,5,1,2,4,4,5,4,1,3,4,1964,2,1,4,1,1,6,3,5,18,"46706",1,3,3,2,1,4,1,1,1,2018-06-07 23:20:43,2018-06-07 23:27:56
391690137,0.915006729033241,5,5,2,1,4,2,2,2,2,4,4,2,3,2,4,5,1,2,1,2,4,1,2,2,4,4,2,3,2,2,4,4,3,1,3,2,4,1,2,2,3,4,2,5,3,2,2,2,1,2,1,3,2,2,4,1,1,4,2,4,3,4,1,1,2,4,1,2,2,2,4,3,4,2,2,4,2,3,2,2,4,5,2,5,5,2,4,2,1,3,1,2,2,2,4,4,4,2,4,2,1955,1,7,3,1,5,97,3,4,23,"04694",1,5,1,2,1,5,1,1,1,2018-06-07 23:16:17,2018-06-07 23:28:24
391850766,0.850980490670075,3,4,4,3,3,3,3,3,3,4,3,3,3,4,4,3,4,3,4,3,3,3,4,3,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,2,3,3,3,3,2,2,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,4,2,3,4,3,3,3,3,4,4,3,2,3,3,3,3,2,3,3,3,3,3,3,3,4,1964,2,1,4,3,2,4,5,8,46,"57350",2,6,7,7,1,5,2,2,6,2018-06-07 23:16:59,2018-06-07 23:28:57
391813447,0.875521975716035,5,3,5,2,4,4,2,2,1,3,4,2,3,2,4,5,3,1,4,2,5,3,5,2,4,5,3,4,1,2,5,3,5,1,4,4,3,2,2,2,5,4,4,1,4,4,2,2,3,4,5,3,4,2,4,3,4,2,2,4,5,3,3,1,4,4,3,3,2,2,5,2,5,1,1,5,3,2,3,2,5,4,4,1,5,5,5,2,2,3,5,3,5,2,4,4,4,2,3,2,1979,2,1,5,5,1,5,1,1,8,"80911",1,1,1,1,10,6,2,4,7,2018-06-07 23:19:56,2018-06-07 23:29:06
391850911,0.720211359283134,3,1,1,3,5,5,5,4,1,4,4,1,3,5,5,1,3,2,5,3,4,1,3,2,5,5,3,2,4,1,5,1,5,1,5,5,4,1,2,5,3,2,1,1,5,5,4,2,2,1,5,1,3,3,5,4,5,1,5,5,5,1,1,2,5,5,4,1,1,2,3,1,4,1,5,5,5,1,3,1,3,1,4,1,5,5,5,1,2,4,5,1,1,1,5,4,3,1,4,1,1991,2,1,5,5,1,9,1,1,36,"10027",1,2,3,1,2,4,2,3,6,2018-06-07 23:21:39,2018-06-07 23:29:13
391850619,1.13399745362967,4,2,3,1,4,5,1,3,1,3,4,1,4,2,4,1,2,1,3,1,2,1,4,1,4,5,4,2,2,1,5,1,4,1,4,5,2,1,1,1,4,1,3,1,4,4,2,1,2,1,5,1,4,2,3,4,4,3,2,4,5,1,2,1,4,5,4,1,2,2,4,1,4,1,4,5,3,2,3,1,5,1,4,1,4,3,4,1,1,2,5,1,4,1,4,5,3,1,3,1,1953,2,1,6,1,5,11,1,1,9,"06260",1,2,1,1,1,6,2,4,7,2018-06-07 23:12:09,2018-06-07 23:29:34
391693680,0.709080186389965,4,2,1,2,5,4,3,2,1,3,5,2,5,5,5,3,2,3,3,1,3,2,3,3,4,5,5,2,5,1,3,1,2,3,5,5,3,3,2,4,3,3,3,1,5,5,4,1,4,1,4,3,3,3,5,4,5,2,5,5,4,3,3,2,5,5,5,3,2,1,3,3,3,1,2,5,5,1,2,1,3,3,4,1,4,4,3,1,2,3,5,1,4,2,5,4,3,1,5,1,1968,2,2,5,5,2,1,3,3,36,"10801",1,2,2,1,1,5,2,2,1,2018-06-07 23:16:43,2018-06-07 23:30:28
391850886,1.03135380754168,4,4,4,2,4,4,2,2,2,4,4,3,3,3,3,4,3,3,2,2,4,2,4,2,3,4,3,2,1,2,4,2,4,2,3,4,2,3,2,3,3,3,3,1,4,4,3,2,3,3,4,3,4,2,3,4,3,3,2,4,4,3,3,2,3,4,3,3,3,2,4,2,4,2,4,4,4,3,3,3,4,2,4,2,4,4,3,2,2,3,4,1,4,2,3,4,3,2,2,3,1958,2,1,3,4,4,4,1,1,12,"34215",1,2,2,1,12,6,1,2,3,2018-06-07 23:20:56,2018-06-07 23:30:40
391393509,0.80231062315914,4,4,3,3,5,3,1,2,1,2,4,3,2,4,4,4,2,2,2,1,3,3,3,1,4,2,2,1,4,2,5,2,2,4,3,3,3,2,2,3,4,1,3,1,5,4,4,1,4,2,4,2,3,1,3,3,3,1,4,4,5,1,2,1,5,4,2,1,3,2,3,2,4,2,4,4,2,2,2,2,4,1,4,2,4,3,4,1,2,3,3,1,2,1,4,4,3,1,2,2,1944,1,1,5,1,1,10,3,3,6,"91377",1,3,1,1,11,5,2,3,6,2018-06-07 23:19:33,2018-06-07 23:30:44
391716453,1.05857786817288,4,3,2,3,4,4,4,2,1,4,5,3,3,2,4,4,3,1,3,1,4,2,4,4,3,5,3,3,4,5,5,3,4,3,4,4,3,2,3,3,3,1,3,1,4,5,3,1,1,2,3,1,3,4,4,4,3,2,4,4,5,3,1,3,3,5,2,1,4,3,4,1,4,2,4,5,3,1,1,2,4,3,5,3,4,4,4,1,3,2,4,1,3,4,4,4,4,1,3,2,1936,2,1,2,1,5,4,1,1,39,"44221",1,3,1,1,2,2,2,1,3,2018-06-07 23:18:16,2018-06-07 23:30:55
391716561,0.884232647749868,4,5,3,4,4,4,3,4,3,3,4,5,4,3,4,3,3,3,3,5,5,3,3,3,3,3,4,4,3,3,3,4,3,4,4,4,5,3,4,2,3,4,3,3,4,4,5,4,3,4,3,4,5,4,5,5,4,3,3,3,5,3,5,3,4,5,4,1,3,4,4,3,4,3,4,3,4,4,4,3,3,4,4,3,5,4,3,3,3,3,4,3,4,3,3,4,4,4,3,4,1982,2,4,5,2,2,11,2,6,6,"90033-3307",2,2,3,7,3,2,2,3,1,2018-06-07 23:25:38,2018-06-07 23:31:03
391850871,0.653512254987114,4,3,2,4,4,3,4,2,2,3,4,3,3,3,4,2,3,4,4,2,3,3,4,4,4,4,3,2,3,3,3,3,3,4,4,3,3,2,3,2,4,3,4,4,4,3,3,2,3,3,1,3,3,4,4,2,3,2,4,3,3,3,3,3,4,4,3,2,2,3,3,3,4,4,4,3,3,2,3,3,3,3,3,5,4,3,4,2,3,3,2,3,4,3,4,3,3,2,3,3,1960,2,7,3,1,1,97,3,5,24,"21520",1,4,2,2,1,3,1,1,1,2018-06-07 23:20:32,2018-06-07 23:31:04
391850850,1.13399745362967,5,2,4,1,5,3,2,3,2,3,2,5,2,2,4,5,5,4,2,2,4,2,4,1,5,5,2,2,2,4,4,1,4,1,5,5,1,3,2,2,4,2,3,1,4,4,2,1,4,4,5,3,4,1,5,4,2,1,3,5,5,4,1,1,5,5,2,3,2,5,5,3,4,1,4,5,1,1,4,5,5,5,3,1,4,4,3,2,2,5,5,4,4,1,5,5,2,2,5,4,1958,2,1,6,1,5,12,1,1,21,"41002",1,2,1,1,1,4,1,1,1,2018-06-07 23:19:39,2018-06-07 23:31:14
391850816,1.03135380754168,4,4,4,3,4,4,2,2,1,3,5,2,4,2,4,3,2,2,4,2,3,2,4,2,2,4,4,2,2,1,4,2,2,2,4,4,4,1,2,2,4,2,4,2,4,4,4,2,4,2,4,2,4,2,4,3,4,2,2,2,4,2,4,2,4,4,4,1,2,1,4,2,4,1,3,4,4,2,2,2,4,4,5,3,4,4,4,2,2,2,4,2,4,2,4,4,4,2,2,2,1958,2,1,3,4,5,4,3,3,32,"89822-1827",1,2,1,1,11,6,2,4,7,2018-06-07 23:18:46,2018-06-07 23:32:08
391850882,0.806517356303961,2,1,1,2,4,4,4,1,2,1,2,4,4,5,4,3,4,5,1,2,2,4,2,2,2,4,2,2,5,4,4,2,1,4,5,1,4,4,4,2,1,1,1,3,3,5,4,4,4,4,3,2,1,5,4,2,3,2,5,4,4,1,1,2,4,5,2,3,5,3,4,2,2,2,2,4,4,2,5,3,4,2,1,3,4,4,4,1,4,4,2,1,1,4,4,2,4,2,4,4,1973,2,1,1,1,1,2,1,2,42,"15824",1,3,2,7,11,5,2,2,5,2018-06-07 23:20:47,2018-06-07 23:32:09
391825096,1.09771004933503,3,4,1,4,5,2,1,2,1,4,5,1,4,4,4,3,2,2,2,1,2,4,4,2,2,5,3,2,4,2,5,1,4,2,5,3,3,2,1,5,4,2,2,3,4,4,4,4,2,2,3,2,1,2,4,2,4,2,5,2,4,1,2,3,5,3,4,1,4,1,4,1,4,3,4,5,5,1,2,2,4,1,5,4,3,4,3,2,2,4,3,1,3,1,4,5,1,2,3,3,1965,2,1,5,1,2,9,1,1,4,"86046",1,2,1,2,2,2,2,1,1,2018-06-07 23:17:09,2018-06-07 23:32:18
391039371,0.84174795584654,4,5,3,3,4,2,4,4,1,3,4,1,4,4,4,4,5,3,2,1,3,4,4,3,4,5,4,2,4,1,4,3,4,4,4,4,5,1,2,5,2,2,1,3,4,4,2,2,4,4,3,1,1,3,4,1,4,2,4,5,5,3,1,2,4,4,2,1,4,4,3,4,3,2,3,5,1,2,2,1,5,3,3,3,4,2,4,2,2,2,3,2,3,4,4,4,4,3,4,2,1990,2,3,5,5,1,11,1,2,15,"96707-2926",1,3,2,2,1,5,2,2,6,2018-06-07 23:21:46,2018-06-07 23:32:23
391693759,1.05872715967304,5,1,1,1,5,3,1,1,1,5,5,1,5,1,4,4,1,1,5,1,5,4,4,1,4,3,5,1,1,1,5,1,5,1,5,5,5,1,1,1,5,1,5,5,5,5,5,1,1,1,1,1,3,1,5,3,5,1,3,1,5,1,2,1,5,5,5,1,1,1,5,1,5,1,5,4,5,1,1,1,5,1,5,5,5,5,5,1,1,1,3,1,5,1,5,5,3,1,2,1,1947,2,1,5,3,1,5,3,4,39,"45241",1,5,1,2,11,2,1,1,1,2018-06-07 23:26:13,2018-06-07 23:32:43
391852847,0.837190308545952,2,1,5,5,4,4,1,4,1,2,3,3,3,1,2,2,3,2,3,3,3,2,3,2,3,5,1,4,3,3,4,1,2,3,3,3,2,2,1,2,3,4,1,1,3,2,2,2,4,4,5,3,3,1,2,4,4,4,1,5,4,2,2,1,2,4,4,5,4,1,4,4,3,2,1,4,3,3,3,3,5,4,3,1,4,4,4,4,3,2,3,1,2,1,2,4,4,1,2,1,1992,2,1,5,5,1,7,1,1,53,"98109-5136",1,2,1,1,9,6,2,4,7,2018-06-07 23:24:33,2018-06-07 23:33:06
391850838,0.640182620976499,4,1,2,3,4,3,4,2,1,4,4,2,5,4,3,4,1,3,3,2,3,3,4,2,3,4,4,2,3,1,4,1,4,1,4,4,2,1,4,2,2,1,3,1,4,4,2,4,2,2,1,1,2,2,4,4,4,2,2,3,4,2,4,1,4,5,3,1,1,2,1,2,4,1,5,4,2,1,2,1,4,2,4,1,3,4,3,3,1,2,4,1,3,3,4,4,4,2,2,2,1973,2,3,2,1,1,5,5,8,36,"11373",2,6,4,7,2,5,2,1,1,2018-06-07 23:19:23,2018-06-07 23:33:19
391850995,1.04306254567121,5,4,1,2,5,3,1,4,1,3,3,4,2,5,4,4,4,4,2,1,4,4,3,1,4,3,2,3,3,4,5,2,2,1,4,3,2,3,2,4,4,4,4,2,4,4,4,1,4,2,1,1,3,1,4,2,4,2,5,4,5,2,1,1,4,5,4,2,4,4,5,2,2,2,1,4,3,2,3,4,5,4,2,1,4,3,4,2,3,4,4,1,2,1,4,4,2,1,5,2,1962,2,1,5,3,1,4,2,6,18,"47129",1,3,4,1,11,5,1,3,6,2018-06-07 23:24:08,2018-06-07 23:34:58
391606072,0.928871082936343,3,2,3,2,4,4,2,2,1,3,4,2,3,4,4,2,2,2,2,1,3,2,3,2,4,4,4,2,4,1,4,2,3,2,4,3,3,2,4,2,3,1,4,1,5,4,4,2,2,1,4,2,1,3,4,3,3,1,4,2,4,3,2,3,4,4,4,2,2,2,4,2,3,1,4,4,4,1,2,2,4,2,4,2,4,3,4,2,2,2,5,2,3,2,4,4,3,2,2,1,1945,2,1,5,1,5,97,1,1,8,"80108-8577",1,2,2,1,1,5,2,4,6,2018-06-07 23:25:51,2018-06-07 23:35:58
391853691,0.860427346606527,2,3,1,5,3,4,5,1,5,5,1,5,4,5,5,1,5,3,1,1,1,3,3,5,5,4,1,1,3,5,1,1,4,5,5,5,1,3,4,4,1,1,1,4,4,4,1,4,4,1,1,1,1,5,5,4,3,1,5,5,1,1,1,5,4,4,1,4,3,5,1,3,1,5,5,4,1,1,3,4,1,1,4,3,5,1,3,1,3,5,1,2,3,5,5,5,1,1,3,5,1954,2,1,2,1,5,9,2,6,13,"30117",1,3,3,2,11,6,2,3,1,2018-06-07 23:25:02,2018-06-07 23:36:20
391850943,0.724867073447283,4,1,5,1,5,3,1,1,1,5,5,1,5,1,5,3,1,1,5,1,3,3,5,2,3,4,5,1,1,1,4,3,5,1,5,5,5,1,1,3,3,3,5,3,3,5,5,1,1,1,3,3,4,1,5,3,5,1,1,3,5,3,4,1,5,5,5,1,1,1,5,3,5,1,5,5,3,1,1,1,4,3,5,3,4,5,4,1,1,1,5,2,5,3,5,5,5,1,1,1,1975,2,1,2,1,7,4,3,4,12,"32754",1,3,2,1,1,5,1,1,1,2018-06-07 23:22:32,2018-06-07 23:36:49
391693674,0.745755231405063,4,5,3,2,4,3,2,2,1,5,4,1,2,2,4,3,4,4,2,2,4,4,4,3,4,4,4,2,1,1,5,3,5,1,5,4,2,1,1,3,4,4,4,1,5,3,2,2,4,5,3,3,4,3,4,3,3,1,4,4,4,5,4,2,5,2,4,1,1,2,4,4,4,1,2,4,2,1,4,1,1,4,5,1,4,3,1,2,2,4,4,4,5,3,5,2,4,1,2,2,1961,1,3,5,6,5,12,1,1,48,"77006",1,3,1,1,2,4,2,2,2,2018-06-07 23:24:25,2018-06-07 23:38:02
391850808,0.987185564371671,5,5,2,3,5,2,3,4,1,5,3,4,5,2,4,2,5,3,1,1,4,5,4,2,4,5,1,2,1,4,4,3,3,3,3,5,1,3,1,5,4,3,4,3,5,4,1,1,4,4,4,4,5,4,3,1,4,3,3,5,5,2,3,2,3,4,1,3,3,5,4,4,5,2,3,3,1,3,3,4,4,5,3,3,4,2,3,1,4,4,4,3,5,2,4,2,2,1,5,5,1957,2,1,3,1,9,6,3,4,12,"32526",1,6,2,7,2,5,1,1,1,2018-06-07 23:18:36,2018-06-07 23:38:20
391403723,0.685236789956415,5,2,3,2,5,5,1,3,1,3,4,2,1,2,3,4,3,2,3,2,2,3,4,1,3,4,2,2,5,2,5,1,4,1,3,3,2,2,2,3,3,2,4,1,3,4,2,2,2,1,5,1,3,1,3,2,4,2,3,4,5,1,2,2,4,4,3,1,1,2,5,2,4,1,3,4,2,1,3,2,5,1,4,1,5,4,2,3,1,2,5,1,5,1,4,4,3,1,3,1,1949,2,1,3,4,5,3,1,1,41,"97520",1,2,1,1,7,6,2,4,6,2018-06-07 23:18:57,2018-06-07 23:38:40
